Are You a Fan of SW?,Favorability_Han Solo,Favorability_Luke Skywalker,Favorability_Princess Leia Organa,Favorability_Anakin Skywalker,Favorability_Obi Wan Kenobi,Favorability_Emperor Palpatine,Favorability_Darth Vader,Favorability_Lando Calrissian,Favorability_Boba Fett,Favorability_C-3P0,Favorability_R2 D2,Favorability_Jar Jar Binks,Favorability_Padme Amidala,Favorability_Yoda,who_shot_first,Familiar_with_expanded_universe,are_you_a_fan_of_expanded_universe,fan_of_star_trek,Gender,Age,Household.Income,Education,Location
No,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Han,No,,Yes,Female,30-44,"$0 - $24,999",High school degree,East North Central
No,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central
Yes,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Han,No,,No,Female,45-60,,Some college or Associate degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,,No,Female,45-60,"$25,000 - $49,999",Bachelor degree,West North Central
Yes,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Greedo,Yes,No,Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very unfavorably,Somewhat favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,I don't understand this question,No,,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
No,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,No,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Han,No,,No,Female,18-29,"$0 - $24,999",Bachelor degree,New England
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Han,No,,Yes,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Greedo,No,,Yes,Female,45-60,"$25,000 - $49,999",Bachelor degree,West North Central
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Greedo,No,,No,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
No,Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),I don't understand this question,No,,No,Male,> 60,"$150,000+",Graduate degree,New England
Yes,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Han,Yes,Yes,Yes,Male,30-44,,Graduate degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,I don't understand this question,No,,No,Female,> 60,"$50,000 - $99,999",,South Atlantic
Yes,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,,Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West South Central
No,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Very favorably,Greedo,No,,No,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
No,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Very favorably,Han,No,,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),,Unfamiliar (N/A),I don't understand this question,No,,Yes,Male,30-44,,Some college or Associate degree,Middle Atlantic
No,Somewhat unfavorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Han,Yes,No,No,Male,18-29,"$25,000 - $49,999",Graduate degree,New England
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Han,Yes,Yes,Yes,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
Yes,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,Yes,Yes,Yes,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
No,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,No,,,,,
No,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,No,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central
No,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Somewhat unfavorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
No,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Female,> 60,"$100,000 - $149,999",Graduate degree,Mountain
Yes,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Han,No,,Yes,Male,30-44,,Some college or Associate degree,South Atlantic
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Very unfavorably,Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Unfamiliar (N/A),Very unfavorably,Very unfavorably,Very favorably,I don't understand this question,No,,No,Female,30-44,,Graduate degree,Middle Atlantic
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat unfavorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Han,Yes,Yes,No,Male,30-44,"$150,000+",Some college or Associate degree,East North Central
No,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Very unfavorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Very favorably,Greedo,No,,Yes,Female,45-60,,Graduate degree,New England
Yes,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Greedo,No,,Yes,Male,30-44,"$150,000+",Graduate degree,South Atlantic
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Very unfavorably,Somewhat favorably,Very favorably,Very unfavorably,Unfamiliar (N/A),Very favorably,I don't understand this question,No,,Yes,Male,> 60,,Graduate degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Greedo,No,,No,Female,> 60,,Graduate degree,South Atlantic
Yes,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Unfamiliar (N/A),Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain
Yes,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Somewhat unfavorably,Very favorably,Unfamiliar (N/A),,Very favorably,Very favorably,Very unfavorably,Very unfavorably,Very favorably,Han,No,,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Somewhat favorably,Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Female,18-29,,High school degree,East North Central
No,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Greedo,No,,No,Female,30-44,"$150,000+",Bachelor degree,East North Central
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,No,Yes,Male,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,No,,Yes,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
No,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,I don't understand this question,No,,No,Female,18-29,,Some college or Associate degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Very unfavorably,Somewhat unfavorably,Very unfavorably,Very favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Somewhat favorably,Han,No,,Yes,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Han,No,,Yes,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England
No,Very favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,I don't understand this question,No,,Yes,Female,18-29,"$25,000 - $49,999",Bachelor degree,West South Central
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Female,18-29,"$150,000+",Bachelor degree,Pacific
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Greedo,Yes,No,No,Female,30-44,"$0 - $24,999",Graduate degree,Pacific
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Very unfavorably,Very unfavorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,I don't understand this question,No,,No,Female,18-29,"$0 - $24,999",High school degree,West North Central
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Somewhat unfavorably,Very favorably,Very favorably,Somewhat unfavorably,Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Greedo,Yes,No,Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
Yes,Very favorably,,Somewhat favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Greedo,No,,Yes,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Han,Yes,Yes,Yes,Male,30-44,"$150,000+",Graduate degree,Pacific
No,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Han,No,,Yes,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,No,,Yes,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Male,> 60,,Bachelor degree,Mountain
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Han,No,,Yes,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,No,Female,30-44,"$50,000 - $99,999",Graduate degree,West South Central
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Han,Yes,No,No,Male,18-29,,Less than high school degree,South Atlantic
Yes,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Very unfavorably,Very favorably,Very favorably,Han,No,,Yes,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
No,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Unfamiliar (N/A),Very favorably,I don't understand this question,No,,No,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central
No,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,No,,No,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central
No,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Unfamiliar (N/A),Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,No,,No,Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,I don't understand this question,No,,Yes,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very unfavorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Greedo,No,,No,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
Yes,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat unfavorably,Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Somewhat unfavorably,Very unfavorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Female,18-29,"$0 - $24,999",Bachelor degree,New England
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Somewhat unfavorably,Unfamiliar (N/A),Very favorably,Very favorably,Unfamiliar (N/A),Very favorably,Very favorably,Greedo,No,,No,Female,30-44,,Graduate degree,Pacific
Yes,Very favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Unfamiliar (N/A),Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,No,,Yes,Female,18-29,,Graduate degree,West South Central
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Greedo,Yes,Yes,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Greedo,Yes,No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
No,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Somewhat favorably,Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Unfamiliar (N/A),Unfamiliar (N/A),Very favorably,I don't understand this question,No,,Yes,Female,> 60,"$0 - $24,999",Graduate degree,Pacific
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Unfamiliar (N/A),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
Yes,,Somewhat favorably,Somewhat favorably,,Somewhat favorably,,Somewhat favorably,,,Somewhat favorably,Somewhat favorably,,,Somewhat favorably,I don't understand this question,No,,Yes,Male,> 60,"$50,000 - $99,999",High school degree,West South Central
Yes,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Han,Yes,Yes,Yes,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
Yes,Very favorably,Very favorably,Very favorably,Somewhat unfavorably,Very favorably,Very unfavorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Han,No,,Yes,Female,45-60,,Graduate degree,East North Central
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very unfavorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,No,,No,Female,18-29,,Some college or Associate degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,No,,No,Female,18-29,"$150,000+",Bachelor degree,West North Central
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Greedo,No,,No,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central
No,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,No,,Yes,Male,45-60,"$150,000+",Graduate degree,South Atlantic
Yes,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,,Somewhat favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Very favorably,I don't understand this question,Yes,Yes,No,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
